sku,product_name,stock,hpp,price,brand_id,supplier_id,seq
KSOY1,Kecap Asin Khas Jepang (Soy Sauce) 150 ml,34,15254,19500,,,1
KSOY2,Kecap Asin Khas Jepang (Soy Sauce) dispenser 150 ml,28,15254,19500,,,2
KSOY3,Kecap Asin Khas Jepang (Soy Sauce) jerigen 2L,16,103364,118500,,,3
KSOY4,Kecap Asin Khas Jepang (Soy Sauce) jerigen 5L,17,199190,229000,,,4
KSOY6,Kecap Asin Khas Jepang (Soy Sauce) 250 ml repack,20,6879,13000,,,5
KSOY7,Kecap Asin Khas Jepang (Soy Sauce) 18L,8,538350,600000,,,6
KGOC1,GoChujang 300 gr,32,17946,22500,,,7
KGOC2,GoChujang jerigen 2L,18,113054,129500,,,8
KGOC3,GoChujang jerigen 5L,18,246565,279500,,,9
KBUL1,Bulgogi Sauce 300 gr,27,17946,22500,,,10
KBUL2,Bulgogi Sauce jerigen 2L,21,113054,129500,,,11
KBUL3,Bulgogi Sauce jerigen 5L,22,246565,279500,,,12
KGAR1,Garlic Teriyaki 300 gr,29,16600,21000,,,13
KGAR2,Garlic Teriyaki jerigen 2L,10,113054,135000,,,14
KGAR3,Garlic Teriyaki jerigen 5L,9,246565,279500,,,15
KBBQ1,BBQ 300gr,17,17946,22500,,,16
KBBQ2,BBQ jerigen 2L,10,113054,135000,,,17
KOYS1,Oyster Sauce 300 gr,16,13908,18000,,,18
KBLA1,Black Pepper Teriyaki Sauce 300 gr,15,16600,21000,,,19
KMIR1,Japanese Sweet Sauce Mirin Halal 300 gr,23,18843,24000,,,20
KMIR2,Japanese Sweet Sauce Mirin Halal jerigen 2L,19,81830,100500,,,21
KMIR3,Japanese Sweet Sauce Mirin Halal jerigen 5L,23,194883,224000,,,22
KFIS1,Fish Sauce 150 ml,16,11489,16000,,,23
KKAT1,Katsu Sauce 300 gr,10,17946,22500,,,24
KYAK1,Yakiniku Sauce 300 gr,16,18394,23000,,,25
KYAK2,Yakiniku Sauce jerigen 2L,7,107670,125000,,,26
KYAK3,Yakiniku Sauce jerigen 5L,5,234721,267000,,,27
KVIN1,Vinegar Type Seasoning 150 ml,36,12562,17500,,,28
KVIN2,Vinegar Type Seasoning jerigen 2L,24,82906,99500,,,29
EMPTY1,,,,,,,30
MAS001,Arimuraya Naruto Maki,37,23976,29000,,,31
MAS002,Kani/Crab Kamaboko/Stick Standard 9cm Local,8,40959,48000,,,32
MAS003,Enachan Shiro/White Miso Halal 300gr,29,21978,28500,,,33
MAS004,Enachan Shiro/White Miso Halal 1kg ,18,40360,49000,,,34
MAS005,Mikochan Shiro/White Miso 300gr,14,21978,28500,,,35
MAS006,Mikochan Shiro/White Miso 1 kg,15,40360,49000,,,36
MAS077,(Steamed) Sanuki Udon Taikoban Mini-Double 200g,41,33467,43000,,,37
MAS007,(Steamed) Sanuki Udon Taikoban Mini-Double 250g,44,36464,46000,,,38
MAS008,(Steamed) Ramen Taikoban Mini-Double 200gr ,12,37463,47000,,,39
MAS009,Dashi No Moto Bonito S-5,41,21706,29000,,,40
MAS010,Kombudashi No Moto 56gr,0,29153,37000,,,41
MAS073,"Yaki/Sushi Nori ""CN"" 10shts",0,26156,31500,,,42
MAS011,"Yaki/Sushi Nori ""CN"" 50shts",17,79920,90500,,,43
MAS012,Udon Soup,17,26674,40500,,,44
MAS014,Pon Shabu 250ml,13,53946,67000,,,45
MAS015,Goma Shabu 250ml,13,61139,75000,,,46
MAS016,Mizkan Sesame Sauce Light ,3,57942,70000,,,47
MAS017,Mizkan Aji Pon 360ml,0,54491,64000,,,48
MAS018,Mizkan Suehiro/Kokumotsu Su Bottle 1.8lt,5,77650,93000,,,49
MAS019,Mizkan Suehiro/Kokumotsu Su Bottle 500ml,30,24975,36000,,,50
MAS054,Ryorishu 400 ml,11,38598,46000,,,51
MAS020,Gyoza/Dumpling Kawa/Wrap,23,16784,24000,,,52
MAS021,Jun Mirin 1.8ltr,16,86096,101500,,,53
MAS022,Hon Mirin 640 ml,19,44501,52000,,,54
MAS023,Mirin 320ml,17,26338,32000,,,55
MAS024,Ryorishu 500 ml,21,37236,45000,,,56
MAS067,"Goseishu 1,8ltr",4,86096,101000,,,57
MAS025,Teriyaki Daioh 400 ml,9,38689,46000,,,58
MAS026,Edamame Whole Non-Salted,46,16257,20000,,,59
MAS027,Edamame Whole Salted,30,14531,18500,,,60
MAS028,Welna Tempura-Ko 600gr,17,41232,49000,,,61
MAS029,Hondashi 500gr,6,61802,71000,,,62
MAS030,Hondashi 1kg,16,127872,145000,,,63
MAS031,Sushi Gari Pink 100gr,14,4505,10000,,,64
MAS032,Sushi Gari Pink 1kg,4,45046,60000,,,65
MAS033,Akagi Shokuhin Joshu Soba 270 gr,2,17982,25000,,,66
MAS034,Akagi Shokuhin Joshu Somen 270 gr,40,17982,25000,,,67
MAS035,Akagi Shokuhin Joshu Kishimen 270 gr,43,14486,25000,,,68
MAS036,Akagi Shokuhin Joshu Udon 270 gr,30,14486,25000,,,69
MAS037,Otona Benzake 9 gr,6,28336,35000,,,70
MAS038,"Otona Wasabi 11,5 gr",0,28336,35000,,,71
MAS039,Otona Honkatsuo 12 gr,4,30061,37000,,,72
MAS041,House Kari Ala Jepang (Roux) Spicy 935 gr,0,130270,147500,,,73
MAS042,House Kari Ala Jepang (Roux) 935 gr,0,117610,135000,,,74
MAS043,House Kari Ala Jepang (Roux) Spicy 300 gr,51,45355,54000,,,75
MAS044,House Kari Ala Jepang (Roux) 300 gr,74,45355,54000,,,76
MAS049,Ebara Yakiniku No Tare Mild 300gr,11,42867,50000,,,77
MAS050,Ebara Yakiniku No Tare Spicy 300gr,15,42867,50000,,,78
MAS051,Ebara Yakiniku No Tare Shoyu 300gr,0,42867,50000,,,79
MAS052,Ebara Sukiyaki No Tare 300 ml,8,42685,50000,,,80
MAS053,Ebara Shabu Shabu No Tare Goma Dare 335 ml,5,46772,55000,,,81
MAS074,Kotsubu Natto,74,17183,31000,,,82
MAS075,Goku Kotsubu Natto Cup,0,18981,30000,,,83
MAS078,Bulldog Tonkatsu Sauce 500ml,1,50750,64000,,,84
MAS079,Bulldog Tonkatsu Sauce Pet 1.8ltr,2,120380,142000,,,85
EMPTY2,,,,,,,86
MAS055,JSF Cabe Bubuk Kasar 1kg,22,88800,105000,,,87
MAS056,JSF Cabe Bubuk Halus 1kg,29,88800,105000,,,88
MAS057,JSF Cabe Bubuk Kasar 250gr,10,22200,32000,,,89
MAS058,JSF Cabe Bubuk Halus 250gr,9,22200,32000,,,90
MAS059,JSF Cabe Bubuk Kasar 100gr,9,8880,15000,,,91
MAS060,JSF Cabe Bubuk Halus 100gr,10,8880,15000,,,92
MAS061,JSF Kizami Nori 100gr,13,60773,75000,,,93
MAS062,JSF Kizami Nori 20gr,9,12155,18000,,,94
MAS063,JSF Kimchi 200gr,28,13636,18000,,,95
MAS064,JSF Biji Wijen Panggang 50gr,56,11100,16000,,,96
MAS065,Oppa Odeng 1kg,12,61050,74000,,,97
MAS066,Oppa Hotbar 500gr,8,31080,44000,,,98
MAS068,Oppa Odeng 200gr + Bumbu,29,21090,28000,,,99
MAS069,JSF Rice Paper Bulat 200gr,28,15396,20000,,,100
MAS070,JSF Rice Paper Bulat 500gr,21,38084,47000,,,101
JSF001,JSF Rice Paper Kotak 200gr,23,15396,20000,,,102
JSF002,JSF Rice Paper Kotak 500gr,22,38084,47000,,,103
JSF003,DANMUJI PANJANG 300 GR,55,16206,20500,,,104
JSF004,Minyak Wijen Java Superfood 135ml,19,16239,20500,,,105
JSF005,NORI ONIGIRI 10 LEMBAR,0,18870,23500,,,106
